icd,term,out_cat,cat_resp,certlevel,icd9_1,icd9_2,icd9_3,,
J00,acute nasopharyngitis [common cold],dx_inc,nasopharyngitis,,340,460,,,
J01,acute sinusitis,dx_inc,sinusitis,,4610,,,,
J01.0,acute maxillary sinusitis,dx_inc,sinusitis,,4610,,,,
J01.1,acute frontal sinusitis,dx_inc,sinusitis,,4611,,,,
J01.2,acute ethmoidal sinusitis,dx_inc,sinusitis,,4612,,,,
J01.3,acute sphenoidal sinusitis,dx_inc,sinusitis,,4613,,,,
J01.4,acute pansinusitis,dx_inc,sinusitis,,4618,,,,
J01.8,other acute sinusitis,dx_inc,sinusitis,,4618,,,,
J01.9,"acute sinusitis, unspecified",dx_inc,sinusitis,,4619,,,,
J02,acute pharyngitis,dx_inc,pharyngitis,,340,,,,
J02.0,streptococcal pharyngitis,dx_inc,pharyngitis,,340,,,,
J02.8,acute pharyngitis due to other specified organisms,dx_inc,pharyngitis,,462,,,,
J02.9,"acute pharyngitis, unspecified",dx_inc,pharyngitis,,462,4782,,,
J03,acute tonsillitis,dx_inc,tonsilitis,,340,,,,
J03.0,streptococcal tonsillitis,dx_inc,tonsilitis,,340,,,,
J03.8,acute tonsillitis due to other specified organisms,dx_inc,tonsilitis,,463,,,,
J03.9,"acute tonsillitis, unspecified",dx_inc,tonsilitis,,463,4740,475,,
J04,acute laryngitis and tracheitis,dx_inc,laryngotracheitis,,340,,,,
J04.0,acute laryngitis,dx_inc,laryngitis,,340,4640,,,
J04.1,acute tracheitis,dx_inc,tracheitis,,340,4641,,,
J04.2,acute laryngotracheitis,dx_inc,laryngotracheitis,,340,4642,,,
J05,acute obstructive laryngitis [croup] and epiglottitis,dx_inc,laryngitis,,4642,,,,
J05.0,acute obstructive laryngitis [croup],dx_inc,laryngitis,,4642,4644,4787,,
J06,acute upper respiratory infections of multiple and unspecified sites,dx_inc,nasopharyngitis,,462,,,,
J06.0,acute laryngopharyngitis,dx_inc,pharyngitis,,462,4650,,,
J06.8,other acute upper respiratory infections of multiple sites,dx_inc,nasopharyngitis,,4658,,,,
J06.9,"acute upper respiratory infection, unspecified",dx_inc,nasopharyngitis,,340,4659,,,
J20,acute bronchitis,dx_inc,acute bronchitis,,4660,,,,
J20.0,acute bronchitis due to mycoplasma pneumoniae,dx_inc,acute bronchitis,,4660,,,,
J20.1,acute bronchitis due to haemophilus influenzae,dx_inc,acute bronchitis,,4660,,,,
J20.2,acute bronchitis due to streptococcus,dx_inc,acute bronchitis,,4660,,,,
J20.3,acute bronchitis due to coxsackievirus,dx_inc,acute bronchitis,,4660,,,,
J20.4,acute bronchitis due to parainfluenza virus,dx_inc,acute bronchitis,,4660,,,,
J20.5,acute bronchitis due to respiratory syncytial virus,dx_inc,acute bronchitis,,4660,,,,
J20.6,acute bronchitis due to rhinovirus,dx_inc,acute bronchitis,,4660,,,,
J20.7,acute bronchitis due to echovirus,dx_inc,acute bronchitis,,4660,,,,
J20.8,acute bronchitis due to other specified organisms,dx_inc,acute bronchitis,,4660,,,,
J20.9,"acute bronchitis, unspecified",dx_inc,acute bronchitis,,4660,490,,,
J30,vasomotor and allergic rhinitis,dx_inc,rhinitis,,4779,,,,
J30.0,vasomotor rhinitis,dx_inc,rhinitis,,4779,,,,
J30.1,allergic rhinitis due to pollen,dx_inc,rhinitis,,4770,,,,
J30.2,other seasonal allergic rhinitis,dx_inc,rhinitis,,4778,,,,
J30.3,other allergic rhinitis,dx_inc,rhinitis,,4778,4779,,,
J30.4,"allergic rhinitis, unspecified",dx_inc,rhinitis,,4779,,,,
J31,"chronic rhinitis, nasopharyngitis and pharyngitis",dx_inc,rhinitis,,4720,,,,
J31.0,chronic rhinitis,dx_inc,nasopharyngitis,,4720,,,,
J31.1,chronic nasopharyngitis,dx_inc,pharyngitis,,4722,,,,
J31.2,chronic pharyngitis,dx_inc,sinusitis,,4721,,,,
J32,chronic sinusitis,dx_inc,sinusitis,,4730,4781,,,
J32.0,chronic maxillary sinusitis,dx_inc,sinusitis,,4730,4781,,,
J32.1,chronic frontal sinusitis,dx_inc,sinusitis,,4731,,,,
J32.2,chronic ethmoidal sinusitis,dx_inc,sinusitis,,4732,4781,,,
J32.3,chronic sphenoidal sinusitis,dx_inc,sinusitis,,4733,,,,
J32.4,chronic pansinusitis,dx_inc,sinusitis,,4738,,,,
J32.8,other chronic sinusitis,dx_inc,sinusitis,,4738,,,,
J32.9,"chronic sinusitis, unspecified",dx_inc,sinusitis,,4739,,,,
J35,chronic diseases of tonsils and adenoids,dx_inc,tonsilitis,,4740,4741,4782,4749,4742
J36,peritonsillar abscess,dx_inc,tonsilitis,,475,,,,
J37,chronic laryngitis and laryngotracheitis,dx_inc,laryngotracheitis,,4760,,,,
J37.0,chronic laryngitis,dx_inc,laryngitis,,4760,4761,4789,,
J37.1,chronic laryngotracheitis,dx_inc,laryngotracheitis,,4761,,,,
